127.0.0.1 - - [05/Nov/2021:12:14:14 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:15 +0900] "GET /guestbook_teacher/welcome HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:15 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:15 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:20 +0900] "GET /guestbook_teacher/products HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:20 +0900] "GET /images/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /guestbook_teacher/editProduct?edit=update HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/%EC%8A%A4%ED%8F%B0%EC%A7%80%EB%B0%A5.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/36d93623-38dd-4a7d-aabe-518ef23dcfabjuwon_sheep.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/S6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/2d78b57f-3764-4303-9898-8a0411c63d14twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/17044407-c4e0-40cc-8475-613631bec2d4twitter.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:27 +0900] "GET /resources/images/KakaoTalk_20211102_152352654.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:14:29 +0900] "GET /updateProduct?id=P127711232 HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:15:51 +0900] "GET /guestbook_teacher/welcome HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:15:52 +0900] "GET /guestbook_teacher/products HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:15:52 +0900] "GET /images/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:16:00 +0900] "GET /guestbook_teacher/editProduct?edit=update HTTP/1.1" 200 4741
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:16:00 +0900] "GET /resources/images/%EC%8A%A4%ED%8F%B0%EC%A7%80%EB%B0%A5.png HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:37:37 +0900] "GET /guestbook_teacher/products HTTP/1.1" 200 1607
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:37:37 +0900] "GET /images/ HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:09 +0900] "GET /guestbook_teacher/welcome HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/products HTTP/1.1" 200 4084
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'36d93623-38dd-4a7d-aabe-518ef23dcfabjuwon_sheep.png' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'%EC%8A%A4%ED%8F%B0%EC%A7%80%EB%B0%A5.png' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'17044407-c4e0-40cc-8475-613631bec2d4twitter.jpg' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'KakaoTalk_20211102_152352654.png' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'2d78b57f-3764-4303-9898-8a0411c63d14twitter.jpg' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'z_flip31.jpg' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:11 +0900] "GET /guestbook_teacher/resources/upload/'S6.jpg' HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:23 +0900] "GET /guestbook_teacher/welcome HTTP/1.1" 200 1394
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:24 +0900] "GET /guestbook_teacher/products HTTP/1.1" 200 4312
0:0:0:0:0:0:0:1 - - [05/Nov/2021:12:42:24 +0900] "GET /guestbook_teacher/resources/upload/'%EC%8A%A4%ED%8F%B0%EC%A7%80%EB%B0%A5.png' HTTP/1.1" 404 721
