127.0.0.1 - - [01/Nov/2021:18:39:32 +0900] "GET / HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:39:58 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:39:58 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:39:58 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:03 +0900] "GET /welcome HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:03 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:08 +0900] "GET /welcome HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:08 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:13 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:13 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:18 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:18 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:23 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:24 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:29 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:29 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:29 +0900] "GET /welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:29 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:29 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /products HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /resources/images/17044407-c4e0-40cc-8475-613631bec2d4twitter.jpg HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /resources/images/instargram.jpg HTTP/1.1" 200 4402
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /resources/images/S6.jpg HTTP/1.1" 200 5198
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /resources/images/z_flip31.jpg HTTP/1.1" 200 54602
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:31 +0900] "GET /resources/images/2d78b57f-3764-4303-9898-8a0411c63d14twitter.jpg HTTP/1.1" 200 1490
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:35 +0900] "GET /product?id=P1237111232 HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:35 +0900] "GET /resources/js/script.js HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:35 +0900] "GET /resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:43 +0900] "POST /addCart?id=P1237111232 HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:45 +0900] "GET /cart?id=P1237111232 HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:47 +0900] "GET /products HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:49 +0900] "POST /addCart?id=P1237111232 HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /shippingInfo?cartId=P1237111232 HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /js/jquery-ui.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /js/jquery-ui.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:50 +0900] "GET /css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:55 +0900] "POST /processShippingInfo HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:40:55 +0900] "POST /processShippingInfo HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:01 +0900] "GET /thankCustomer?id=P1237111232&date=2021/10/28 HTTP/1.1" 200 1335
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:04 +0900] "POST /processShippingInfo HTTP/1.1" 200 2346
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:09 +0900] "GET //welcome HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:14 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:19 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:24 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:29 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:34 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:39 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:44 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:49 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:54 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:41:59 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:04 +0900] "GET //welcome HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:09 +0900] "GET //welcome HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:14 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:19 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:25 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:30 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:35 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:40 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:45 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:48 +0900] "GET ///welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:49 +0900] "GET /products HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:51 +0900] "GET /product?id=P1237111232 HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:53 +0900] "POST /addCart?id=P1237111232 HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /shippingInfo?cartId=P1237111232 HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /js/jquery-ui.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /js/jquery-ui.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:54 +0900] "GET /css/style.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:59 +0900] "POST /processShippingInfo HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:42:59 +0900] "POST /processShippingInfo HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:20 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:20 +0900] "GET //welcome HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:20 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:20 +0900] "GET /favicon.ico HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:21 +0900] "GET /products HTTP/1.1" 200 3541
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:22 +0900] "GET /product?id=P1237111232 HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:24 +0900] "POST /addCart?id=P1237111232 HTTP/1.1" 200 2083
0:0:0:0:0:0:0:1 - - [01/Nov/2021:18:43:25 +0900] "GET /shippingInfo?cartId=P1237111232 HTTP/1.1" 200 3301
